i.no,Model,Brand,Size,Store SI No,Laptop Serial No,PO Numbers,Warranty End - EOL,Age in Months,Cost Center,Admin,Site,Status,Physical Location,Warranty Start Date,Warranty End Date,Warranty End Qtr,Assigned NTID,Emp ID,Employee Full Name,Employee Type,CC,Assigned Dept,New Hire/Replacement/Loner,Assign Date,Issues with Keyboard and Mouse (Y/N),Docking SI.No (Y/N),Remarks,Age Left in Months,Serial No,Assigned To,Location,Warranty Month
3.0,Latitude 5410,Lenovo,16 inch,ST7068,1822748126632.0,PO445938,2026-06-17,24.0,CC101,admin2,Hyderabad,Returned,"584 Christine Point, Lisachester, HI 55110",2023-06-18,2026-06-17,Q2-2026,bradley93,EMP7598,Jesus Jimenez,Contract,CC102,Operations,New Hire,2024-01-03,N,N,I social account society.,12.0,,,,2026-06
5.0,Latitude 5410,Dell,16 inch,ST9611,8340949260076.0,PO297554,2026-01-08,29.0,CC104,admin1,Delhi,Returned,"27946 Burnett Villages, Willisside, DE 70303",2023-01-09,2026-01-08,Q1-2026,williamsstacy,EMP6955,Cathy Bailey,Full Time,CC101,HR,Loner,2023-05-25,Y,Y,Receive song follow mean produce.,7.0,,,,2026-01
6.0,MacBook Pro,Dell,13 inch,ST9653,8528204862382.0,PO190378,2027-05-25,13.0,CC103,admin1,Bangalore,Assigned,"706 Henson Pike Suite 379, Gabriellechester, ME 04781",2024-05-25,2027-05-25,Q2-2027,christophertravis,EMP8156,Angel Thompson,Contract,CC101,Finance,Loner,2025-07-17,Y,Y,Computer soldier fear activity onto federal.,23.0,,,,2027-05
7.0,EliteBook 840,Dell,16 inch,ST2205,4481185980602.0,PO161997,2026-02-01,28.0,CC104,admin2,Delhi,Returned,"6420 Morgan Lake Suite 756, Simonhaven, UT 09340",2023-02-02,2026-02-01,Q1-2026,matthewalvarado,EMP3122,Jonathan Miller,Intern,CC103,HR,Loner,2023-04-05,Y,N,Born they hundred against condition marriage.,8.0,,,,2026-02
9.0,MacBook Pro,Lenovo,13 inch,ST2966,6824494000346.0,PO925025,2026-09-09,21.0,CC101,admin1,Delhi,Expired,"PSC 3206, Box 3770, APO AA 33859",2023-09-10,2026-09-09,Q3-2026,jonesdavid,EMP4347,Joel Mendoza MD,Intern,CC103,Operations,Replacement,2026-06-22,N,N,Debate picture lawyer deep identify glass.,15.0,,,,2026-09
10.0,EliteBook 840,HP,16 inch,ST9440,2348690564333.0,PO422636,2027-01-25,17.0,CC101,admin2,Mumbai,Assigned,"694 Jennifer Haven Apt. 767, Amandaton, WA 17150",2024-01-26,2027-01-25,Q1-2027,tuckerstephen,EMP6207,Jacqueline Huynh,Intern,CC102,Operations,Loner,2026-06-09,Y,Y,Message century cold point wind another.,19.0,,,,2027-01
11.0,Latitude 5410,Dell,14 inch,ST7534,4440698574104.0,PO449969,2026-05-02,25.0,CC104,admin2,Bangalore,Assigned,"0874 Jeffrey Forest, East Jennifer, HI 84502",2023-05-03,2026-05-02,Q2-2026,christopher35,EMP2931,Oscar Walton,Intern,CC104,Operations,Loner,2024-05-14,N,Y,Subject notice word agree question fire reveal.,11.0,,,,2026-05
12.0,MacBook Pro,Lenovo,17 inch,ST2009,3541369760084.0,PO410678,2026-11-20,19.0,CC101,admin3,Bangalore,Expired,"4770 Maxwell Corners Apt. 201, Barnettport, CA 26810",2023-11-21,2026-11-20,Q4-2026,collinsjustin,EMP7282,Erin Bell,Full Time,CC103,HR,Replacement,2024-07-14,Y,Y,Clear environment push many.,17.0,,,,2026-11
14.0,Latitude 5410,Lenovo,13 inch,ST6689,9661216565175.0,PO926423,2026-03-04,27.0,CC103,admin1,Delhi,Active,"Unit 7444 Box 7717, DPO AP 02196",2023-03-05,2026-03-04,Q1-2026,bgibson,EMP4499,Brandon Davis,Full Time,CC104,IT,Loner,2024-12-15,Y,N,Instead subject show then hold take air.,9.0,,,,2026-03
15.0,Latitude 5410,Apple,13 inch,ST6744,5125292975869.0,PO348237,2027-05-16,13.0,CC101,admin1,Hyderabad,Active,"691 Andrea Forest Suite 564, Hornehaven, WA 43967",2024-05-16,2027-05-16,Q2-2027,misty34,EMP2056,Zachary Key,Full Time,CC101,HR,Loner,2026-06-16,Y,N,Notice firm among throughout compare customer.,23.0,,,,2027-05
